page,table,author,model,harvest_method,machine_type,base_machine,propulsion,dv_type,units,formula
110,2,Louis & Kizha (2021),1,FT,FB,PB CT,W,cycle (s),a+bA₁+cN₃,
110,2,Louis & Kizha (2021),2,FT,FB,PB CT,W,cycle (s),a+bA₃+cN₃,
110,2,Magagnotti et al. (2021),1,CTL,H,PB RW,PV,(tot above-ground m³,,
110,2,Magagnotti et al. (2021),2,CTL,H,PB RW,PV,(m³ SMH⁻¹)*,-a+bV₄+cT₈,
110,2,Magagnotti et al. (2021),3,CTL,H,PB RW,PV,(m³ SMH⁻¹)*,-a+bV₅+cT₈,
110,2,Magagnotti et al. (2021),4,CTL,H,PB RW,PV,(m³ SMH⁻¹)*,-a+bV₅+cT₈V₅,
110,2,Manner et al. (2023),1,CTL,H,PB RW,TV,(s m³ ⁻¹),a-bI₆+cI₆+dV₃+eA₁+fO₇,
110,2,Manner et al. (2023),2,CTL,H,PB RW,TV,(s m³ ⁻¹),aV₃-b,
110,2,McEwan et al. (2016),1,CTL,H,EB CT,E,ln fell (s),a+bD₁c+dP₂,
110,2,McEwan et al. (2016),2,CTL,H,EB CT,E,process (s),a+bD₁c+dP₂+eP₂O₁₇,
110,2,McEwan et al. (2016),3,CTL,H,EB CT,E,"fell, process (s)",a+bD₁c+dP₂+eP₂O₁₇,
110,2,Mederski et al. (2016),1,CTL,H,PB RW,PV,(m³ PMh⁻¹),-a+bD₁-cO₁₆-dO₁₆+eI₆+fI₆,
110,2,Mederski et al. (2016),2,CTL,H,PB RW,PV,(m³ PMh⁻¹),a+bV₁+cO₁₆+dO₁₆+eI₆+fI₆,
110,2,Norihiro et al. (2018),1,CTL,H,"PB, EB  CT",PV,(m³ PMh⁻¹),a+bV₁,
110,2,Norihiro et al. (2018),2,CTL,H,EB CT,PV,(m³ PMh⁻¹),a+bV₁,
110,2,Norihiro et al. (2018),3,CTL,H,"PB, EB  CT",PV,(m³ PMh⁻¹),a+bV₁,
110,2,Norihiro et al. (2018),4,CTL,H,EB CT,PV,(m³ PMh⁻¹),a+bV₁,
110,2,Norihiro et al. (2018),5,CTL,H,EB CT,PV,(m³ PMh⁻¹),a+bV₁,
110,2,Norihiro et al. (2018),6,CTL,H,EB CT,PV,(m³ PMh⁻¹),a+bV₁,
110,2,Norihiro et al. (2018),7,CTL,H,"PB, EB  CT",PV,(m³ PMh⁻¹),a+bE₉-cO₁₅+dS₁-eN₁₀+fV₁,
110,2,Norihiro et al. (2018),8,CTL,H,EB CT,PV,(m³ PMh⁻¹),a+bO₁₅+cV₁,
110,2,Norihiro et al. (2018),9,CTL,H,"PB, EB  CT",PV,(m³ PMh⁻¹),a+bE₉-cO₁₅-dS₁-eN₁₀+fV₁,
